Company,Company_lower_case,Playstore,Appstore,Twitter,Trustpilot,logo_link
Deliveroo,deliveroo,com.deliveroo.orderapp,deliveroo-food-delivery_1001501844,@DeliverooHelp,https://www.trustpilot.com/review/www.deliveroo.co.uk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTlA9Uhu9VOBa7thWlayDq_NRbrEZgyw45nEp1ZVw_TLST7HsLxVP63FwzWC8&s
Bolt,bolt,ee.mtakso.client,bolt-fast-affordable-rides_675033630,@boltapp,-,https://play-lh.googleusercontent.com/TRCKh9Uk5mME5lVDZBAVmBMyBEiumHw4Ef9MTAnRqgcK8MEr4M8jqqBDGX_pKVBffpo=s360-rw
Roundpier,roundpier,com.roundpier.roundpier,roundpier_1400305303,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyUeJ6gwm221GHEsezMN1sfx6YKxH29urVndKAwS-P9Snir2XVKCjv1O1qXtg&s
uber eats,uber eats,com.ubercab.eats,uber-eats-food-delivery-uk_1058959277,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0L2X4Eq9Gn2n1sMufYW0W_-FOzXyjUZFR73Bzp7_q_AwHpFuNZZZ6SjaqEg&s
getir,getir,com.getir,getir-groceries-in-minutes_995280265,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBLgQqwiulQ2NK432JXCc9v6ee4gdSa65W_euTPATYoKHTJEd03Xn5akqmAQ&s
figma,figma,com.figma.mirror,figma-mirror_1152747299,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzora1YnW41V3CnpVajV5Rh5uqH30n6j4jJmlkEQxVvlrCiegJy2mbqTIDNw&s
walmart,walmart,com.walmart.android,walmart-shopping-grocery_338137227,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLxzkah3-xTveikOgmcrtGdCCQJKQl3oCHMUNqt_mmiINDtSEpgLI9jGAnKg&s
doordash,doordash,com.dd.doordash,uber-eats-food-delivery_1058959277,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBL9NrctVN0VoWLO-jPq4n_vxi2XBaMcFJm680F8N9jl9ZFFY1MVFW24QVHjk&s
grubhub,grubhub,com.grubhub.android,grubhub-local-food-delivery_302920553,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuJ8lvAIP2gaTJGaIey1B5Ai_zFkVkdzgHRruWYaaHTQMhVFYMDsOZFzxaHQ&s
courseera,courseera,org.coursera.android,coursera-learn-new-skills_736535961,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDAtRmDTgPR9nRNWgtQlvfOLB9LQebgF35fIvQ2INizHd3Hav28vMRUpW9nTU&s
udemy,udemy,com.udemy.android,udemy-online-video-courses_562413829,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSO03-dWniovB-SF5A1FOA_3GICvh0ybqlwDE-CLQdIHYJ-63343RShZJq45T4&s
Revolut,revolut,com.revolut.revolut,revolut_932493382,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyY66yMUc2K6pnlfc8DOSWzi3dLXTYf15kZTmZEzabrJH8dVlFMJnhh7A9zd0&s
SumUp,sumup,com.kaching.merchant,sumup_514879214,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReWEvGVQhx6cAp0dyQTf3sMfyz3OU5n-FVaYupvTC66WnlA75yQiugcjcOsKE&s
Hopin,hopin,to.hopin.android,hopin_1542021364,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqZjFx7pegbPov5TUREwjMZFHtwxaIpHbJX3U-aV8gHYuIiXvtQZbXo6jfcUs&s
CMR Surgical,cmr surgical,,,-,-,
OneTrust,onetrust,,,-,-,
Snyk,snyk,,,-,-,
Checkout.com,checkout.com,,,-,-,
Starling Bank,starling bank,com.starlingbank.android,barclays_536248734,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRX_cr0z0VkWhJ8AIugy9cdOh9K0CIJbnAHiD_S1gQYa1BpHIxtlq_sA0rzbwk&s
Truphone,truphone,com.truphone.esim,my-truphone-esim-travel-data_1369080719,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNpVsx6vGdMNQLP-OiKlVQz8BU2FFm0ax8KFomZPYBoGrmqEnW1te9Hs5elg&s
Zepz,zepz,com.revolut.revolut,google-pay-save-pay-manage_1193357041,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCZlPuSKfzPjEg2nlKLgx-M7A4wrPWpAVLE3GYNuQ1aVBytBVWiD0zu1K-FR0&s
,,,,,,
Atom,atom,com.subconscious.thrive,atom-bank_1085637839,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuZ6ch8Zfol4EkplF88bLhxFNIE7EIsqzICoVi_zywMaTwD-rIaYuZ5Glh96I&s
Zopa,zopa,com.zopa.zeos,zopa-feelgood-money_1324011914,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRN4adjgkz9FprRsfUFI2wJpAUfgFIknNU2FBy5oCroa-3VW7N3VE38KWZ1B7k&s
Monzo,monzo,co.uk.getmondo,monzo-banking-made-easy_1052238659,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTX1expso4dxngvRyJ7RMHB3LVaRDo-lZ8mRJqaEnpXOpPoiaO9elTjfwaRt5g&s
Improbable,improbable,com.randonautica.app,randonautica_1493743521,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkCxP0C7zDHj689I5DNAVDTWVkZugDA6xNUz0OguQRzo3LUOFMFcMxzDq4lw&s
SaltPay,saltpay,com.google.android.apps.walletnfcrel,google_284815942,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVzN21nRuxITVyMvLK9pgMmdncnfqLtI1_g8Em4zRVIRFWpWHZJ9qJqVdI5Q&s
Bought By Many,bought by many,,,-,-,
Blockchain.com,blockchain.com,piuk.blockchain.android,blockchain-com-wallet-buy-btc_493253309,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlYIfTuIoRQ0YTYYjCiB7cgAMsWjKk1u2nWCt-j_k8Htbm6tXxgSpQ_v-hZOo&s
Africa Mobile Networks,africa mobile networks,com.orange.orangemoneyafrique,google-assistant_1220976145,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFSLvfZ0WzhYp7vu4GZqT3W3UPEYoeJJeZEX6TV3roLA8-vNCWuUX-Mxj4Fg&s
PaymentSense,paymentsense,uk.co.paymentsense.superpay,paymentsense-dashboard_1441528625,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-D6aqzgI5i4JUpe--zoySakh6tHb6h_CKTlpLE-JVg-nRG9-eZ9Uso5UVuw&s
OVO Group,ovo group,com.ovo.energy,ovo-energy_626316021,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbU5UxGAJsS6hi7wTi7PkC33nU4fsI-vlSwm1T5tNghwlOrlBz6phwPYqtpQ&s
BenevolentAI,benevolentai,,,-,-,
Patsnap,patsnap,,,-,-,
Zenobe,zenobe,uk.gov.HomeOffice.ho2,google_284815942,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFG9DVCG18Iwj8v68fZNAMBfkLkleNtq3irhZ-2Ll9hs8qQXKxm1jO2eOixwo&s
Quanta,quanta,com.app.quantaoneteam,google_284815942,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBw3gCIQMjyjOy-hwOf6-rLys89o94MOmIyb-VV1hE4TC4d1GhWicIOhYnLw&s
Artios Pharma,artios pharma,,,-,-,
Matillion,matillion,,,-,-,
10x Banking,10x banking,com.greendotcorp.go2bank,go2bank-mobile-banking_1534345772,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAE84oOrCShQEl3L9xb6cWYU6dvHjGgONCAN9aZTSefrSRZDEVBtsfmASw7Q&s
Thought Machine,thought machine,com.wf.wellsfargomobile,google_284815942,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlIu3y39vkXZzh0aNvOBV650ScdlJSNW8tiOwtr8vox1MplXBWjbrxV2X70A&s
TrueLayer,truelayer,,,-,-,
Smart,smart,com.tuya.smart,google_284815942,-,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMrFpXHTEKQOJt1mRsRa0V6CqxLB76PcObyTC3PrqyhgcDUNgezJn4_9kSxQ&s
Soldo,soldo,,,-,-,
Quantexa,quantexa,,,-,-,
Plexuss,plexuss,com.plexussmobiles,plexuss-college-homework-help_1290534634,-,-,https://play-lh.googleusercontent.com/eoRAzPKO4Wn6DyC_udOk-ZVHRuVGZN19v2QelglcAc8Fz441mJ8hgpwsyOQsj6wkyfs=s360-rw
transferwise,transferwise,com.transferwise.android,wise_612261027,-,https://www.trustpilot.com/review/wise.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjEPj4dFlp0ljuD8-lZ23nKKhJpQYxLJb0xInxs2iKpFFqaQw2h05Jkeljcg&s
,,,,-,-,
,,,,-,-,
,,,,-,-,
HSBC,hsbc,,,-,-,
,,,,-,-,
Dropbox,dropbox,com.dropbox.android,dropbox-inc_327630333,@DropboxSupport,https://www.trustpilot.com/review/www.dropbox.com,https://www.schudio.com/wp-content/uploads/2015/01/dropbox-480x320.png?x14409
MediumCorporation,mediumcorporation,com.medium.reader,medium-corporation_828256239,@Medium,https://www.trustpilot.com/review/medium.com,https://miro.medium.com/max/1400/0*Sc1VKetYxe7iWnjW.png
Slack,slack,com.Slack,slack_618783545,@SlackHQ,https://www.trustpilot.com/review/slack.com,https://assets.turbologo.com/blog/en/2021/07/25051845/slack-old-logo.png
Lyft,lyft,me.lyft.android,lyft-inc_529379082,@lyft,https://www.trustpilot.com/review/www.lyft.com,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Lyft_logo.svg/1200px-Lyft_logo.svg.png
GitHub,github,com.github.android,github_429758986,@github,https://www.trustpilot.com/review/github.com,https://github.githubassets.com/images/modules/logos_page/GitHub-Mark.png
Squarespace,squarespace,com.squarespace.android.squarespaceapp,squarespace-inc_318590877,@squarespace,https://www.trustpilot.com/review/www.squarespace.com,https://upload.wikimedia.org/wikipedia/commons/7/75/Squarespace_Logo_2019.png
,,,,,,
Thursday,,,,,,
